iter	Passed	Remaining
529	1379	1223
530	1381	1220
531	1383	1217
532	1385	1213
533	1387	1210
534	1389	1207
535	1391	1204
536	1393	1201
537	1395	1198
538	1397	1194
539	1399	1191
540	1401	1189
541	1403	1185
542	1405	1182
543	1406	1179
544	1408	1176
545	1410	1173
546	1413	1170
547	1416	1168
548	1418	1165
549	1421	1162
550	1423	1159
551	1426	1157
552	1429	1155
553	1431	1152
554	1434	1150
555	1437	1147
556	1440	1145
557	1443	1143
558	1445	1140
559	1448	1138
560	1451	1136
561	1454	1133
562	1457	1131
563	1460	1128
564	1463	1126
565	1466	1124
566	1470	1122
567	1473	1120
568	1475	1117
569	1478	1115
570	1481	1112
571	1483	1109
572	1487	1108
573	1489	1105
574	1493	1103
575	1496	1101
576	1500	1099
577	1504	1098
578	1507	1096
579	1510	1093
580	1513	1091
581	1515	1088
582	1518	1086
583	1521	1083
584	1524	1081
585	1527	1079
586	1532	1078
587	1535	1075
588	1538	1073
589	1541	1071
590	1546	1070
591	1550	1068
592	1554	1066
593	1558	1065
594	1562	1063
595	1567	1062
596	1571	1060
597	1574	1058
598	1578	1056
599	1582	1054
600	1585	1052
601	1588	1050
602	1590	1047
603	1593	1044
604	1596	1042
605	1598	1039
606	1600	1036
607	1602	1033
608	1605	1030
609	1607	1027
610	1609	1024
611	1611	1021
612	1613	1018
613	1615	1015
614	1617	1012
615	1619	1009
616	1621	1006
617	1623	1003
618	1624	1000
619	1626	997
620	1628	994
621	1630	990
622	1632	987
623	1634	984
624	1635	981
625	1637	978
626	1639	975
627	1641	972
628	1643	969
629	1644	965
630	1646	962
631	1647	959
632	1649	956
633	1651	953
634	1653	950
635	1655	947
636	1656	944
637	1658	941
638	1660	938
639	1662	934
640	1663	931
641	1665	928
642	1667	925
643	1669	922
644	1670	919
645	1672	916
646	1674	913
647	1676	910
648	1677	907
649	1679	904
650	1681	901
651	1682	898
652	1684	895
653	1686	892
654	1687	889
655	1690	886
656	1692	883
657	1694	880
658	1696	877
659	1698	875
660	1700	872
661	1702	869
662	1705	866
663	1707	863
664	1709	861
665	1711	858
666	1713	855
667	1715	852
668	1718	850
669	1720	847
670	1722	844
671	1724	841
672	1726	838
673	1728	836
674	1731	833
675	1733	830
676	1735	828
677	1738	825
678	1741	823
679	1744	820
680	1746	818
681	1749	815
682	1752	813
683	1756	811
684	1759	808
685	1761	806
686	1763	803
687	1765	800
688	1768	798
689	1770	795
690	1772	792
691	1775	790
692	1777	787
693	1780	784
694	1783	782
695	1785	780
696	1787	777
697	1791	774
698	1794	772
699	1796	770
700	1801	768
701	1804	766
702	1806	763
703	1811	761
704	1814	759
705	1818	757
706	1822	755
707	1825	752
708	1829	750
709	1831	748
710	1834	745
711	1837	743
712	1840	741
713	1844	738
714	1847	736
715	1851	734
716	1854	732
717	1857	729
718	1860	727
719	1863	724
720	1865	722
721	1868	719
722	1871	716
723	1874	714
724	1877	712
725	1881	710
726	1884	707
727	1887	705
728	1890	702
729	1893	700
730	1897	698
731	1901	696
732	1904	693
733	1906	691
734	1910	688
735	1913	686
736	1916	683
737	1919	681
738	1922	679
739	1925	676
740	1928	674
741	1932	671
742	1935	669
743	1938	667
744	1942	664
745	1945	662
746	1948	659
747	1951	657
748	1953	654
749	1957	652
750	1959	649
751	1963	647
752	1966	645
753	1969	642
754	1971	639
755	1974	637
756	1977	634
757	1980	632
758	1983	629
759	1986	627
760	1989	624
761	1991	621
762	1994	619
763	1996	616
764	1998	614
765	2001	611
766	2004	609
767	2007	606
768	2009	603
769	2012	601
770	2014	598
771	2016	595
772	2019	592
773	2021	590
774	2023	587
775	2025	584
776	2027	581
777	2029	578
778	2030	576
779	2033	573
780	2035	570
781	2037	567
782	2039	565
783	2041	562
784	2044	559
785	2046	557
786	2048	554
787	2050	551
788	2052	549
789	2055	546
790	2057	543
791	2059	540
792	2061	538
793	2063	535
794	2065	532
795	2067	529
796	2069	527
797	2071	524
798	2072	521
799	2074	518
800	2075	515
801	2077	512
802	2079	510
803	2080	507
804	2082	504
805	2084	501
806	2085	498
807	2087	496
808	2089	493
809	2091	490
810	2093	487
811	2095	485
812	2096	482
813	2098	479
814	2100	476
815	2102	474
816	2104	471
817	2106	468
818	2108	465
819	2109	463
820	2111	460
821	2114	457
822	2115	455
823	2117	452
824	2119	449
825	2121	446
826	2123	444
827	2125	441
828	2127	438
829	2129	436
830	2130	433
831	2132	430
832	2134	427
833	2136	425
834	2138	422
835	2140	419
836	2141	417
837	2143	414
838	2145	411
839	2147	409
840	2148	406
841	2150	403
842	2152	400
843	2154	398
844	2156	395
845	2158	392
846	2160	390
847	2162	387
848	2163	384
849	2165	382
850	2167	379
851	2169	376
852	2171	374
853	2173	371
854	2174	368
855	2176	366
856	2178	363
857	2180	360
858	2182	358
859	2183	355
860	2185	352
861	2187	350
862	2189	347
863	2190	344
864	2192	342
865	2194	339
866	2196	336
867	2198	334
868	2200	331
869	2202	329
870	2204	326
871	2206	323
872	2208	321
873	2209	318
874	2212	316
875	2213	313
876	2215	310
877	2217	308
878	2219	305
879	2221	302
880	2223	300
881	2225	297
882	2227	295
883	2229	292
884	2230	289
885	2232	287
886	2234	284
887	2236	282
888	2238	279
889	2240	276
890	2242	274
891	2243	271
892	2245	269
893	2247	266
894	2249	263
895	2251	261
896	2253	258
897	2255	256
898	2257	253
899	2259	251
900	2260	248
901	2262	245
902	2264	243
903	2266	240
904	2268	238
905	2270	235
906	2272	232
907	2273	230
908	2275	227
909	2277	225
910	2279	222
911	2281	220
912	2283	217
913	2285	215
914	2287	212
915	2289	209
916	2292	207
917	2293	204
918	2295	202
919	2297	199
920	2299	197
921	2301	194
922	2303	192
923	2305	189
924	2307	187
925	2309	184
926	2311	181
927	2312	179
928	2314	176
929	2316	174
930	2318	171
931	2320	169
932	2322	166
933	2324	164
934	2326	161
935	2327	159
936	2329	156
937	2331	154
938	2333	151
939	2335	149
940	2337	146
941	2338	144
942	2340	141
943	2342	138
944	2345	136
945	2350	134
946	2355	131
947	2364	129
948	2374	127
949	2379	125
950	2396	123
951	2402	121
952	2408	118
953	2415	116
954	2420	114
955	2424	111
956	2429	109
957	2434	106
958	2438	104
959	2442	101
960	2447	99
961	2452	96
962	2456	94
963	2461	91
964	2466	89
965	2470	86
966	2475	84
967	2480	81
968	2484	79
969	2489	76
970	2493	74
971	2498	71
972	2503	69
973	2507	66
974	2512	64
975	2516	61
976	2521	59
977	2525	56
978	2530	54
979	2535	51
980	2539	49
981	2544	46
982	2548	44
983	2553	41
984	2558	38
985	2563	36
986	2567	33
987	2572	31
988	2577	28
989	2581	26
990	2586	23
991	2591	20
992	2596	18
993	2600	15
994	2605	13
995	2609	10
996	2614	7
997	2618	5
998	2623	2
999	2627	0
