iter	Logloss
0	0.690690858
1	0.6882247925
2	0.6861674445
3	0.6839265142
4	0.6817734582
5	0.679517201
6	0.6772454126
7	0.6751409258
8	0.6730718613
9	0.6707789557
10	0.6686731066
11	0.6668905531
12	0.6650002343
13	0.6628448623
14	0.6606230055
15	0.658798354
16	0.6569171633
17	0.6553350176
18	0.6536906106
19	0.6520485197
20	0.6504486629
21	0.6483940397
22	0.646328858
23	0.6445088387
24	0.6429075514
25	0.6411534718
26	0.6396220752
27	0.6378466742
28	0.6363767215
29	0.6346389226
30	0.6330892699
31	0.6315768787
32	0.6302531787
33	0.628767831
34	0.6269977433
35	0.6254523141
36	0.6239945548
37	0.6223602976
38	0.6211516517
39	0.6195475033
40	0.6182582038
41	0.6167166574
42	0.6155704771
43	0.6142140797
44	0.612901347
45	0.6115401132
46	0.6100709098
47	0.6087326322
48	0.6070807321
49	0.6059934752
50	0.6048311506
51	0.6035723686
52	0.6023642676
53	0.601120472
54	0.5999058315
55	0.5988224574
56	0.5973641532
57	0.5962568011
58	0.5948487009
59	0.5936841284
60	0.5923832485
61	0.5914184707
62	0.5905363219
63	0.5898171834
64	0.5887261799
65	0.5875204631
66	0.5862411772
67	0.5854469708
68	0.5842191151
69	0.5832528387
70	0.5823021616
71	0.5810392244
72	0.5797279903
73	0.5784608296
74	0.5775336538
75	0.5762249402
76	0.5753600257
77	0.5744799205
78	0.5734451158
79	0.5725412369
80	0.5714407648
81	0.5705962181
82	0.5696006502
83	0.5689664568
84	0.5679954801
85	0.567291396
86	0.5659711702
87	0.5649366379
88	0.5640262195
89	0.5627788135
90	0.5619802134
91	0.5610924448
92	0.5603548799
93	0.5594866616
94	0.5586936133
95	0.5575966835
96	0.5569059849
97	0.556255579
98	0.5554214205
99	0.5546865804
100	0.5536518778
101	0.5527417319
102	0.5518078123
103	0.5511293411
104	0.5503714425
105	0.5492618425
106	0.5481035369
107	0.5475749288
108	0.5464989117
109	0.5456011636
110	0.5448661532
111	0.5447921753
112	0.5440677234
113	0.5434361867
114	0.5427301271
115	0.5419867379
116	0.5409955978
117	0.5400297982
118	0.5389176096
119	0.5381717001
120	0.5374084541
121	0.5364504882
122	0.5357887404
123	0.5349468844
124	0.5343227046
125	0.5337406567
126	0.533025435
127	0.531760897
128	0.5313676425
129	0.5307949952
130	0.5301054546
131	0.5291210583
132	0.5283886705
133	0.5278433391
134	0.5271496432
135	0.5264814922
136	0.525922605
137	0.5251856531
138	0.5248461451
139	0.5239549364
140	0.5230441775
141	0.5224049091
142	0.5216694219
143	0.5209423474
144	0.5203988211
145	0.5197471891
146	0.5189159938
147	0.5181931087
148	0.5175332342
149	0.5168608938
150	0.5160511221
151	0.5155095373
152	0.5148832457
153	0.514170851
154	0.5134152004
155	0.512630122
156	0.5118360519
157	0.5112331595
158	0.5107235568
159	0.5103178024
160	0.5095477785
161	0.5089439324
162	0.5079255785
163	0.5073114804
164	0.5067008223
165	0.5060573305
166	0.5054268837
167	0.5049766813
168	0.5044121742
169	0.5039574759
170	0.5033985547
171	0.5025504998
172	0.5019847666
173	0.5012835775
174	0.5008315359
175	0.5002111707
176	0.4995613098
177	0.4990252086
178	0.4984919684
179	0.4980773926
180	0.4975474903
181	0.4970033509
182	0.4965808732
183	0.4960395268
184	0.4955322742
185	0.4949149745
186	0.4941095625
187	0.4933751651
188	0.4927514621
189	0.4922642708
190	0.4914414542
191	0.4913016728
192	0.4907219751
193	0.4902907099
194	0.4898895536
195	0.4894072669
196	0.4890317576
197	0.4884540694
198	0.4878874506
199	0.487425157
200	0.4869869437
201	0.4864514215
202	0.4859913077
203	0.4855177062
204	0.4850487028
205	0.4842929159
206	0.4837772165
207	0.4832108361
208	0.4826976912
209	0.4824270521
210	0.4820356369
211	0.4814974921
212	0.481184142
213	0.4806328501
214	0.4798566614
215	0.4793571063
216	0.4788384097
217	0.4782249587
218	0.4777524131
219	0.4771297659
220	0.4766973768
221	0.476273741
222	0.4758469037
223	0.4752886295
224	0.4747969082
225	0.474165099
226	0.4737178598
227	0.4731503214
228	0.4726571356
229	0.4721352713
230	0.4717831271
231	0.4713571412
232	0.4709807805
233	0.4705224037
234	0.4703208038
235	0.4698808193
236	0.4694326946
237	0.4690651212
238	0.4684864794
239	0.4681857654
240	0.4677168982
241	0.4674119268
242	0.4669572966
243	0.4665934018
244	0.4661424501
245	0.4657081195
246	0.4652626855
247	0.4647004604
248	0.4640733855
249	0.463674375
250	0.463449955
251	0.463069473
252	0.4625007766
253	0.4619262559
254	0.4614420618
255	0.461092404
256	0.4605330059
257	0.4600491524
