iter	Logloss
0	0.6839590073
1	0.6737174988
2	0.6638912473
3	0.6552042961
4	0.6459461621
5	0.6395382881
6	0.6308059692
7	0.6232020514
8	0.6170760563
9	0.6105305808
10	0.6047608512
11	0.6001285825
12	0.5948258809
13	0.5886675971
14	0.5827558381
15	0.5781676429
16	0.5735186849
17	0.5698775564
18	0.5653441633
19	0.5604426861
20	0.5572135789
21	0.5539230619
22	0.5502234186
23	0.5448942184
24	0.5416742734
25	0.5361031805
26	0.5323397773
27	0.5279447011
28	0.5254731178
29	0.5225938388
30	0.5193240643
31	0.5159473419
32	0.5122136048
33	0.5101606846
34	0.5072973796
35	0.5045760359
36	0.5005041191
37	0.4978104319
38	0.4948273386
39	0.4922276906
40	0.488716398
41	0.4853442056
42	0.481523037
43	0.4767919268
44	0.4746734755
45	0.4729521615
46	0.4693189689
47	0.4660665989
48	0.4646748815
49	0.4617739405
50	0.4595462254
51	0.457120691
52	0.4545081002
53	0.4511568887
54	0.4491094181
55	0.446619715
56	0.444434166
57	0.4417694637
58	0.4391591549
59	0.4365906715
60	0.4342364243
61	0.4309460776
62	0.428816591
63	0.4258761406
64	0.4242244107
65	0.4209285464
66	0.4179894584
67	0.4166930744
68	0.4153063638
69	0.4123529366
70	0.4102537632
71	0.4083822455
72	0.4065318448
73	0.404788426
74	0.4036839349
75	0.402074882
76	0.4000496864
77	0.3981447901
78	0.3959321976
79	0.394542626
80	0.3927217211
81	0.3910828659
82	0.3883503505
83	0.3863002913
84	0.3851113319
85	0.3840300015
86	0.3821874346
87	0.3799495016
88	0.3790052959
89	0.3774250235
90	0.3761803082
91	0.3743522508
92	0.3725869315
93	0.3704025405
94	0.3685905593
95	0.3669504098
96	0.3653912204
97	0.3638853346
98	0.3615214484
99	0.360675948
100	0.3598444121
101	0.3591831752
102	0.358601502
103	0.3577174459
104	0.3559822355
105	0.3542708669
106	0.3527742113
107	0.3521425724
108	0.3506585189
109	0.3489758628
110	0.3477275031
111	0.3466911316
112	0.3454275131
113	0.3442570141
114	0.3441488743
115	0.3423364503
116	0.3407840729
117	0.3399103028
118	0.3389559133
119	0.3378144673
120	0.3363503729
121	0.3347387314
122	0.3333655085
123	0.331662178
124	0.3303614003
125	0.3289026533
126	0.3266863142
127	0.3251530102
128	0.323448079
129	0.3218499933
130	0.3209080696
131	0.3195759228
132	0.3180196285
133	0.3164571013
134	0.3151780878
135	0.3138882773
136	0.3125054836
137	0.311868906
138	0.3101351602
139	0.3084242003
140	0.3072683811
141	0.3060467924
142	0.3046817098
143	0.3030024937
144	0.3017179966
145	0.3006732123
146	0.2997294835
147	0.2990209375
148	0.2980125972
149	0.2962156364
150	0.295256819
151	0.2940005234
152	0.2927168778
153	0.2915080956
154	0.2901902199
155	0.2893857615
156	0.2882733345
157	0.2875814438
158	0.286726032
159	0.2852396114
160	0.283809185
161	0.2821807861
162	0.2814275537
163	0.2802324976
164	0.2791695765
165	0.2781574045
166	0.277373961
167	0.2770356621
168	0.2757027149
169	0.2746986662
170	0.2741401196
171	0.2727917262
172	0.2721031734
173	0.2705286912
174	0.2695537295
175	0.2686704057
176	0.2686165401
177	0.2678844248
178	0.266417844
179	0.2657122101
180	0.2648379803
181	0.2633885826
182	0.263314162
183	0.2619172164
184	0.260697501
185	0.2596789428
186	0.2584549359
187	0.258046627
188	0.2565230983
189	0.2553286212
190	0.2539994035
191	0.2532614299
192	0.2522250925
193	0.251097611
194	0.2505878721
195	0.2488584689
196	0.2487969739
197	0.2476560048
198	0.2467326437
199	0.2456856966
200	0.2441293001
201	0.2428635529
202	0.2420190913
203	0.2407003811
204	0.2399459907
205	0.2387464387
206	0.2376953193
207	0.2362111466
208	0.2346212353
209	0.2335167612
210	0.2328360592
211	0.2322264399
212	0.2315016815
213	0.2305532524
214	0.2298637458
215	0.2287902491
216	0.2278515782
217	0.2273543562
218	0.2263755969
219	0.225396003
220	0.2245157787
221	0.2238575731
222	0.2234590054
223	0.2223357133
224	0.2211881195
225	0.2205289262
226	0.2196614742
227	0.2188710826
228	0.2182551452
229	0.2177402122
230	0.216886299
231	0.2159820625
232	0.2150071008
233	0.2142537832
234	0.2142202854
235	0.2131533112
236	0.2123222692
237	0.2113200937
238	0.2104474817
239	0.2098798241
240	0.2089726925
241	0.2081702948
242	0.2080054964
243	0.207662906
244	0.2067026751
245	0.2058895315
246	0.2052181108
247	0.2042229857
248	0.2029095718
249	0.2020938056
250	0.2013470105
251	0.2006365231
252	0.1997863735
253	0.1988277776
254	0.1986261777
255	0.1985812528
256	0.1972951208
257	0.1968983752
258	0.1964162418
259	0.1957491466
260	0.1948172706
261	0.1937021528
262	0.1936563424
263	0.1931112664
264	0.1921336991
265	0.1915523495
266	0.1907308953
267	0.1900111267
268	0.188991751
269	0.188536099
270	0.1878099442
271	0.1871255125
272	0.1870685646
273	0.1870284081
274	0.1864795685
275	0.185869285
276	0.1850833893
277	0.1844202961
278	0.1836368867
279	0.1828257356
280	0.1821774415
281	0.1815244981
282	0.1809169395
283	0.1803587505
284	0.1797408547
285	0.1790161984
286	0.178268075
287	0.1773554598
288	0.1766965389
289	0.1759842464
290	0.1756960154
291	0.1751229082
292	0.1746023553
293	0.1736522913
294	0.1728475775
295	0.1723344496
296	0.1719484159
297	0.1713328872
298	0.1706453391
299	0.1702309677
